Error-kind,Action,Sorting,OWNER,Likelihood,Destructive,Action name,Action description,Action caveats,Action label,Description from code (parsed with Gemini),"ERROR STRING (Juan, unreviewed)",TRANSLATABLE USER OPTIONS  (from doc),Notes
ErrorKindPreOSSecureBootAuthByEnrolledDigests,(implicit),59,Installer,,,,,,,#N/A,This computer is using a manual allowlist to verify software at startup.,,
ErrorKindRunningInVM,(implicit),49,Installer,,,,,,,#N/A,The current environment is a virtual machine.,,
ErrorKindSysPrepApplicationsPresent,(implicit),55,Installer,,,,,,,#N/A,There is software running at startup that might prevent a secure connection with the computer's TPM.,,
ErrorKindTPMStartupLocalityNotProtected,(implicit),51,Installer,,,,,,,#N/A,There is an issue with this computer's TPM. ,,
ErrorKindVARSuppliedDriversPresent,(implicit),53,Installer,,,,,,,#N/A,There is software running at startup that might prevent a secure connection with the computer's TPM.,,
ErrorKindWeakSecureBootAlgorithmsDetected,(implicit),57,Installer,,,,,,,#N/A,Some of the certificates verifying software in this computer are outdated or use weak protection.,,
ErrorKindActionFailed,(no action),8,Installer,,,,,,,#N/A,,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ErrorKindInternal,(no action),4,Installer,,,,,,,#N/A,,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ErrorKindInvalidArgument,(no action),7,Installer,,,,,,,#N/A,,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ErrorKindInvalidTPMResponse,(no action),12,Installer,,,,,,,#N/A,There is an issue with this computer's TPM. ,"Return to return to encryption and file system menu.

(Installer should return to return to encryption and file system menu)",
ErrorKindMeasuredBoot,(no action),10,Installer,,,,,,,#N/A,There is an issue with this computer's firmware. ,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ErrorKindMissingArgument,(no action),6,Installer,,,,,,,#N/A,,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ErrorKindSystemNotEFI,(no action),9,Installer,,,,,,,#N/A,This computer is using older firmware (legacy BIOS) that is not compatible with this encryption method.,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ErrorKindTPMCommandFailed,(no action),11,Installer,,,,,,,#N/A,There is an issue with this computer's TPM. ,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindUnexpectedAction,(no action),5,Installer,,,,,,,#N/A,,"Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu",
ErrorKindInsufficientTPMStorage,ActionClearTPMViaFirmware,29,Secboot,,Yes,Clear TPM on restart,,You might be asked to confirm this action on restart. You will then have to retry installation. Any progress will be lost.,Restart and clear TPM,"Clear the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM does not have enough storage available.,Clear the TPM via the PPI,
ErrorKindTPMDeviceLockoutLockedOut,ActionClearTPMViaFirmware,26,Secboot,,Yes,Clear TPM on restart,,You might be asked to confirm this action on restart. You will then have to retry installation. Any progress will be lost.,Restart and clear TPM,"Clear the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM is currently locked.,Clear the TPM via the PPI.,
ErrorKindTPMHierarchiesOwned,ActionClearTPMViaFirmware,23,Secboot,,Yes,Clear TPM on restart,,You might be asked to confirm this action on restart. You will then have to retry installation. Any progress will be lost.,Restart and clear TPM,"Clear the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM is already in use by another system or application.,Clear the TPM via the PPI.,
ErrorKindTPMDeviceFailure,ActionContactOEM,18,Installer,,No,,,,,Hint that the user should contact the OEM for the device because of a bug in the platform. It is a pseudo-action and cannot be performed by this package.,There is an issue with this computer's TPM. ,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
Ignore,ActionContactOEM,16,Installer,,No,,,,,Hint that the user should contact the OEM for the device because of a bug in the platform. It is a pseudo-action and cannot be performed by this package.,#N/A,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindAbsolutePresent,"ActionContactOEM

(unrecoverable)",46,Installer,,No,,,,,#N/A,Absolute Persistence Module is enabled in this computer.,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindHostSecurity,"ActionContactOEM

(unrecoverable)",42,Installer,,No,,,, ,#N/A,There is an issue with this computer's security configuration.,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindInsufficientDMAProtection,"ActionContactOEM

(unrecoverable)",36,Installer,,No,,,,,#N/A,This computer is missing a required security feature (DMA protection).,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindNoSuitablePCRBank,"ActionContactOEM

(unrecoverable)",32,Installer,,No,,,,,#N/A,There is an issue with this computer's firmware. ,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindPCRUnusable,"ActionContactOEM

(unrecoverable)",43,Installer,,No,,,,     ,#N/A,There is an issue with this computer's firmware. ,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindUEFIDebuggingEnabled,"ActionContactOEM

(unrecoverable)",35,Installer,,No,,,,,#N/A,UEFI debugging is enabled.,"I will contact the OEM for assistance. Return to return to encryption and file system menu.

(Installer should return to encryption and file system menu)",
ErrorKindNoKernelIOMMU,"ActionContactOSVendor

(unrecoverable)",40,Installer,,No,,,,,#N/A,This computer is missing a required security feature (IOMMU).,"I will contact Canonical for assistance. Return to return to encryption and file system menu

<link to documentation>

(Installer should return to encryption and file system menu)",
ErrorKindInsufficientTPMStorage,ActionEnableAndClearTPMViaFirmware,30,,,Yes,Enable and clear TPM on restart,,"You might be asked to confirm this action on restart. Then, you will need to start the installation again. Any progress will be lost.",Restart and clear TPM,"Enable and clear the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM does not have enough storage available.,Enable and clear the TPM via the PPI.,
ErrorKindTPMDeviceDisabled,ActionEnableAndClearTPMViaFirmware,21,Secboot,,Yes,Enable and clear TPM on restart,,"You might be asked to confirm this action on restart. Then, you will need to start the installation again. Any progress will be lost.",Restart and clear TPM,"Enable and clear the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM is disabled.,Enable and clear the TPM via the PPI.,
ErrorKindTPMDeviceLockoutLockedOut,ActionEnableAndClearTPMViaFirmware,27,Secboot,,Yes,Enable and clear TPM on restart,,"You might be asked to confirm this action on restart. Then, you will need to start the installation again. Any progress will be lost.",Restart and clear TPM,"Enable and clear the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM is currently locked.,Enable and clear the TPM via the PPI.,
ErrorKindTPMHierarchiesOwned,ActionEnableAndClearTPMViaFirmware,24,Secboot,,Yes,Enable and clear TPM on restart,,"You might be asked to confirm this action on restart. Then, you will need to start the installation again. Any progress will be lost.",Restart and clear TPM,"Enable and clear the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM is already in use by another system or application.,Enable and clear the TPM via the PPI.,
ErrorKindTPMDeviceDisabled,ActionEnableTPMViaFirmware,20,Secboot,,No?,Enable TPM on restart,,"You might be asked to confirm this action on restart. Then, you will need to start the installation again. Any progress will be lost.",Restart and enable TPM,"Enable the TPM via the physical presence interface. If successful, this action will respond with ErrorKindShutdown or ErrorKindReboot.",This computer's TPM is disabled.,Enable the TPM via the PPI.,
N/A,ActionNone,13,Secboot,,,,,,,No action.,#N/A,N/A,
ErrorKindAbsolutePresent,ActionProceed,45,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",Absolute Persistence Module is enabled in this computer.,I understand the risk and choose to ignore the error.,
ErrorKindInsufficientDMAProtection,ActionProceed,38,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",This computer is missing a required security feature (DMA protection).,I understand the risk and choose to ignore the error.,
ErrorKindNoKernelIOMMU,ActionProceed,41,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",This computer is missing a required security feature (IOMMU).,I understand the risk and choose to ignore the error.,
ErrorKindPreOSSecureBootAuthByEnrolledDigests,ActionProceed,58,Secboot,,No,Ignore,Ignoring the issue might result in a less secure installation.,,Ignore and continue,"Turn on the appropriate CheckFlags so that the corresponding errors are ignored. If multiple errors are returned with this action in a single call, then calling RunChecksContext.Run with it will result in all of those errors being ignored if no argument is supplied.",This computer is using a manual allowlist to verify software at startup.,I understand the risk and choose to ignore the error.,
