Error-kind,Expected args,Error description,Related errors,From code (parsed with Gemini),API message (by Ernest)
ANY,UNKNOWN,,UNKNOWN,#N/A,"(this is not an error, the action will just be ignored)"
ErrorKindAbsolutePresent,N/A,Absolute Persistence Module is enabled in this computer.,"ActionContactOEM  (unrecoverable), ActionProceed, ActionRebootToFWSettings",Absolute was detected to be executing before the initial OS loader.,Absolute was detected to be executing before the initial OS loader.
ErrorKindActionFailed,N/A,,(no action),The supplied action did not succeed for some reason.,The provided action did not succeed.
ErrorKindEFIVariableAccess,EFIVariableAccessErrorArg,There is an issue with this computer's firmware.,#N/A,"An error occurred when accessing an EFI variable. This will be supplied with a EFIVariableAccessErrorArg as the argument, which details exactly what access error occurred.",Error occurred when accessing an EFI variable.
ErrorKindHostSecurity,N/A,There is an issue with this computer's security configuration.,ActionContactOEM  (unrecoverable),There is some problem with the system security that isn't represented by a more specific error kind.,Problem with the system security that is not represented by a more specific error kind.
ErrorKindInsufficientDMAProtection,N/A,This computer is missing a required security feature (DMA protection).,"ActionContactOEM  (unrecoverable), ActionProceed, ActionRebootToFWSettings",I/O DMA remapping was disabled during the current boot cycle.,I/O DMA remapping was disabled during the current boot cycle.
ErrorKindInsufficientTPMStorage,N/A,This computer's TPM does not have enough storage available.,"ActionClearTPMViaFirmware, ActionEnableAndClearTPMViaFirmware, ActionRebootToFWSettings",There isn't sufficient storage space available to support FDE along with reprovisioning in the future.,Insufficient storage space available to support FDE along with reprovisioning in the future.
ErrorKindInternal,N/A,,(no action),Some kind of unexpected internal error occurred that doesn't have a more appropriate error kind.,Unexpected internal error occurred.
ErrorKindInvalidArgument,InvalidActionArgumentDetails,,(no action),"Returned if an action was supplied that requires one or more arguments, but one or more of the supplied arguments are of an invalid type or are an invalid value. This will be accompanied with an argument of the type InvalidActionArgumentDetails.",One or more of the supplied arguments are of an invalid type or value.
ErrorKindInvalidSecureBootMode,N/A,Secure boot is disabled in this computer or is not set in deployed mode.,ActionRebootToFWSettings,The secure boot mode is invalid. Either secure boot is disabled or deployed mode is not enabled.,The secure boot mode is invalid.
ErrorKindInvalidTPMResponse,N/A,There is an issue with this computer's TPM. ,(no action),"The response from the TPM is invalid, which makes it impossible to obtain a response code.","The response from the TPM is invalid, which makes it impossible to obtain a response code."
ErrorKindMeasuredBoot,N/A,There is an issue with this computer's firmware. ,(no action),There was an error with the TCG log or some other error detected from the TCG log that isn't represented by a more specific error kind.,Error with the TCG log or some other error detected from the TCG log that is not represented by a more specific error kind.
ErrorKindMissingArgument,N/A,,(no action),"Returned if an action was supplied that requires one or more arguments, but not enough arguments are supplied.",Not enough action arguments provided.
ErrorKindNoKernelIOMMU,N/A,This computer is missing a required security feature (IOMMU).,"ActionContactOSVendor  (unrecoverable), ActionProceed, ActionRebootToFWSettings","The OS kernel was not built with DMA remapping support, or some configuration has resulted in it being disabled.","The OS kernel was not built with DMA remapping support, or some configuration has resulted in it being disabled."
ErrorKindNone,N/A,,#N/A,No error occurred.,N/A
ErrorKindNoSuitablePCRBank,<to be added>,There is an issue with this computer's firmware. ,"ActionContactOEM  (unrecoverable), ActionRebootToFWSettings",It was not possible to select a suitable PCR bank. This could be because some mandatory PCR values are inconsistent with the TCG log.,It is not possible to select a suitable PCR bank. This could be because some mandatory PCR values are inconsistent with the TCG log.
ErrorKindNoSuitableTPM2Device,N/A,This computer does not have the required security hardware (TPM 2.0) for this encryption method.,#N/A,The device has no suitable TPM2 device. This is a fatal error. This error means that full-disk encryption is not supported on this device.,The device has no suitable TPM2 device.
ErrorKindPCRUnsupported,PCRUnsupportedArgs,There is an issue with this computer's TPM. ,#N/A,A required PCR is currently unsupported by the efi sub-package. This will be accompanied by a PCRUnsupportedArgs argument.,Required PCR is currently unsupported by the efi sub-package.
ErrorKindPCRUnusable,PCRUnusableArg,There is an issue with this computer's firmware. ,ActionContactOEM  (unrecoverable),An error in the way that the platform firmware performs measurements such that the PCR becomes unusable. This will be accompanied by a PCRUnusableArg argument.,An error in the way that the platform firmware performs measurements such that the PCR becomes unusable.
ErrorKindPreOSSecureBootAuthByEnrolledDigests,<to be added>,This computer is using a manual allowlist to verify software at startup.,"(implicit), ActionProceed","Pre-OS components were authenticated by matching their Authenticode digest to a digest enrolled in db. This means that db has to change with every firmware update, increasing the fragility of PCR7.",Pre-OS components were authenticated by matching their Authenticode digest to an entry in db.
ErrorKindRebootRequired,N/A,,ActionReboot,"A reboot is required, and is returned in response to some actions.",System reboot is required to complete a previous action.
ErrorKindRunningInVM,N/A,The current environment is a virtual machine.,"(implicit), ActionProceed",The current environment is a virtual machine.,The current environment is a virtual machine.
ErrorKindShutdownRequired,N/A,,ActionShutdown,"A shutdown is required, and is returned in response to some actions.",System shutdown is required to complete a previous action.
ErrorKindSysPrepApplicationsPresent,N/A,There is software running at startup that might prevent a secure connection with the computer's TPM.,"(implicit), ActionProceed",System preparation applications were detected to be running before the operating system.,System preparation applications were detected to be running before the operating system.
ErrorKindSystemNotEFI,N/A,This computer is using older firmware (legacy BIOS) that is not compatible with this encryption method.,(no action),The current host system is not an EFI system.,The current host system is not an EFI system.
ErrorKindTPMCommandFailed,TPMErrorResponse,There is an issue with this computer's TPM. ,(no action),An error occurred whilst executing a TPM command. It will be accompanied with an argument of the type TPMErrorResponse.,An error occurred whilst executing a TPM command.
ErrorKindTPMCommunication,N/A,There is an issue with this computer's TPM. ,#N/A,An error occurred at the transport layer when executing a TPM command.,An error occurred at the transport layer when executing a TPM command.
ErrorKindTPMDeviceDisabled,N/A,This computer's TPM is disabled.,"ActionEnableAndClearTPMViaFirmware, ActionEnableTPMViaFirmware, ActionRebootToFWSettings","There is a TPM device but it is currently disabled. Note that after enabling it, it may still fail further checks which mean it is unsuitable.",There is a TPM device that is currently disabled.
ErrorKindTPMDeviceFailure,N/A,There is an issue with this computer's TPM. ,"ActionContactOEM, ActionReboot",The TPM device has failed an internal self check.,The TPM device has failed an internal self check.
ErrorKindTPMDeviceLockoutLockedOut,TPMDeviceLockoutRecoveryArg,This computer's TPM is currently locked.,"ActionClearTPMViaFirmware, ActionEnableAndClearTPMViaFirmware, ActionRebootToFWSettings",The TPM's lockout hierarchy is currently unavailable because it is locked out. This is not the same as ErrorKindTPMDeviceLockout.,The TPM's lockout hierarchy is currently unavailable because it is locked out.
ErrorKindTPMHierarchiesOwned,TPM2OwnedHierarchiesError,This computer's TPM is already in use by another system or application.,"ActionClearTPMViaFirmware, ActionEnableAndClearTPMViaFirmware, ActionRebootToFWSettings","One or more TPM hierarchy is currently owned, either because it has an authorization value or policy set. This will be supplied with a TPM2OwnedHierarchiesError as the argument.","One or more TPM hierarchy is currently owned, either because it has an authorization value or policy set."
ErrorKindTPMStartupLocalityNotProtected,N/A,There is an issue with this computer's TPM. ,"(implicit), ActionProceed",The system has a discrete TPM and the startup locality is not protected from access by privileged code running at ring 0.,The system has a discrete TPM and the startup locality is not protected from access by privileged code running at ring 0.
ErrorKindUEFIDebuggingEnabled,N/A,UEFI debugging is enabled.,ActionContactOEM  (unrecoverable),The platform firmware currently has a debugging endpoint enabled.,The platform firmware currently has a debugging endpoint enabled.
ErrorKindUnexpectedAction,N/A,,(no action),"An action was supplied that is unexpected because it isn't a remedial action associated with the previously returned errors, or because the action is not supported.",The provided action is unexpected because it is either not supported or not associated with the previously returned errors.
ErrorKindUnsupportedPlatform,N/A,This computer is not compatible with hardware-backed encryption.,#N/A,The current host platform is not compatible with FDE.,The current host platform is not compatible with FDE.
ErrorKindVARSuppliedDriversPresent,<to be added>,There is software running at startup that might prevent a secure connection with the computer's TPM.,"(implicit), ActionProceed",Drivers running from value-added-retailer components were detected.,Drivers running from value-added-retailer components were detected.
ErrorKindWeakSecureBootAlgorithmsDetected,N/A,Some of the certificates verifying software in this computer are outdated or use weak protection.,"(implicit), ActionProceed","Either pre-OS components were authenticated with weak Authenticode digests, or CAs with weak public keys were used to authenticate components.","Either pre-OS components were authenticated with weak Authenticode digests, or CAs with weak public keys were used to authenticate components."
NONE,N/A,Hardware-backed encryption is not available.,N/A,#N/A,Encryption unavailable.
UNKNOWN,N/A,,N/A,#N/A,Unknown error kind.
