Error-kind,Expected args,Error description,From code (parsed with Gemini),API message (by Ernest)
NONE,N/A,Hardware-backed encryption is not available,#N/A,Encryption unavailable.
UNKNOWN,N/A,,#N/A,Unknown error kind.
ANY,UNKNOWN,,#N/A,"(this is not an error, the action will just be ignored)"
ErrorKindNone,N/A,,No error occurred.,N/A
ErrorKindInternal,N/A,,Some kind of unexpected internal error occurred that doesn't have a more appropriate error kind.,Unexpected internal error occurred.
ErrorKindShutdownRequired,N/A,,"A shutdown is required, and is returned in response to some actions.",System shutdown is required to complete a previous action.
ErrorKindRebootRequired,N/A,,"A reboot is required, and is returned in response to some actions.",System reboot is required to complete a previous action.
ErrorKindUnexpectedAction,N/A,,"An action was supplied that is unexpected because it isn't a remedial action associated with the previously returned errors, or because the action is not supported.",The provided action is unexpected because it is either not supported or not associated with the previously returned errors.
ErrorKindMissingArgument,N/A,,"Returned if an action was supplied that requires one or more arguments, but not enough arguments are supplied.",Not enough action arguments provided.
ErrorKindInvalidArgument,InvalidActionArgumentDetails,,"Returned if an action was supplied that requires one or more arguments, but one or more of the supplied arguments are of an invalid type or are an invalid value. This will be accompanied with an argument of the type InvalidActionArgumentDetails.",One or more of the supplied arguments are of an invalid type or value.
ErrorKindActionFailed,N/A,,The supplied action did not succeed for some reason.,The provided action did not succeed.
ErrorKindRunningInVM,N/A,,The current environment is a virtual machine.,The current environment is a virtual machine.
ErrorKindSystemNotEFI,N/A,,The current host system is not an EFI system.,The current host system is not an EFI system.
ErrorKindEFIVariableAccess,EFIVariableAccessErrorArg,Hardware-backed encryption is not available in this computer.,"An error occurred when accessing an EFI variable. This will be supplied with a EFIVariableAccessErrorArg as the argument, which details exactly what access error occurred.",Error occurred when accessing an EFI variable.
ErrorKindNoSuitableTPM2Device,N/A,This computer does not have a compatible TPM.,The device has no suitable TPM2 device. This is a fatal error. This error means that full-disk encryption is not supported on this device.,The device has no suitable TPM2 device.
ErrorKindTPMDeviceFailure,N/A,There is an issue with this computer's TPM. ,The TPM device has failed an internal self check.,The TPM device has failed an internal self check.
ErrorKindTPMDeviceDisabled,N/A,This computer's TPM is disabled.,"There is a TPM device but it is currently disabled. Note that after enabling it, it may still fail further checks which mean it is unsuitable.",There is a TPM device that is currently disabled.
